rec_time_stamp,can_id,message_type,engine_rpm,vehicle_speed,throttle_position,brake_pressure,steering_angle,ambient_temp,cabin_temp,humidity,light_level,rain_intensity
20250426120100,0x7E8,ENGINE_STATUS,2450,65,45,0,2.5,18.5,22.3,65,8500,0
20250426120101,0x7E9,SPEED_INFO,2455,65,46,0,2.3,18.5,22.3,65,8500,0
20250426120102,0x7EA,THROTTLE_STATUS,2460,66,48,0,2.0,18.5,22.4,65,8510,0
20250426120103,0x7EB,BRAKE_STATUS,2465,67,50,12,1.8,18.6,22.4,66,8520,0
20250426120104,0x7E8,ENGINE_STATUS,2470,68,50,25,1.5,18.6,22.5,66,8530,0
20250426120105,0x7EC,STEERING_INFO,2475,67,48,35,0.8,18.6,22.5,66,8530,1
20250426120106,0x7E9,SPEED_INFO,2480,65,45,40,-0.5,18.7,22.6,67,8400,2
20250426120107,0x7EA,THROTTLE_STATUS,2485,62,40,30,-1.2,18.7,22.6,67,8350,3
20250426120108,0x7EB,BRAKE_STATUS,2490,58,35,20,-1.8,18.8,22.7,68,8300,3
20250426120109,0x7E8,ENGINE_STATUS,2495,55,30,10,-2.0,18.8,22.7,68,8250,2
